주차장관리번호,주차장명,주차장구분,주차장유형,소재지지번주소,소재지도로명주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,연락처,위도(WGS84좌표),경도(WGS84좌표),데이터기준일자
406-2-000001,송악산,공영,노외,제주특별자치도 서귀포시 상모리 165,,17,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2059547,126.2889526,2016-08-31
406-2-000002,남원읍사무소 옆,공영,노외,제주특별자치도 서귀포시 남원읍 남원리 205-1,제주특별자치도 서귀포시 태위로 695,20,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-4192,33.2797838,126.7205951,2016-08-31
406-2-000003,위미출장소 옆,공영,노외,제주특별자치도 서귀포시 남원읍 위미리 2892,제주특별자치도 서귀포시 태위로 105,15,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-2492,33.2750016,126.6586782,2016-08-31
406-2-000004,구 오일장마당,공영,노외,제주특별자치도 서귀포시 남원읍 남원리 84-2,,40,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-2632,33.2788179,126.7214486,2016-08-31
406-2-000005,성산체육관,공영,노외,제주특별자치도 서귀포시 성산읍 오조리 1365-1,제주특별자치도 서귀포시 일주동로 4024,72,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-4293,33.467199,126.9049515,2016-08-31
406-2-000006,군민체육관,공영,노외,제주특별자치도 서귀포시 남원읍 남원리 2337-1,제주특별자치도 서귀포시 태위로 551-27,82,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-4192,33.2779477,126.7044594,2016-08-31
406-2-000007,표선 시가지내,공영,노외,제주특별자치도 서귀포시 표선리 634-28,,19,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-4482,33.3250838,126.8338772,2016-08-31
406-2-000008,성산일출봉 주차장,공영,노외,제주특별자치도 서귀포시 성산읍 성산리 114-3,제주특별자치도 서귀포시 일출로 284-6,204,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-710-7914,33.4624686,126.9352237,2016-08-31
406-2-000009,산방산 주차장,공영,노외,제주특별자치도 서귀포시 안덕면 사계리 166-4,,31,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-6321,33.2362678,126.3126286,2016-08-31
406-2-000010,삼성의원 앞,공영,노외,제주특별자치도 서귀포시 대정읍 하모리 841-58,,15,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2202965,126.2532563,2016-08-31
406-2-000011,돔베낭골,공영,노외,제주특별자치도 서귀포시 호근동 1619,제주특별자치도 서귀포시 태평로92번길 49,55,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2399823,126.5318796,2016-08-31
406-2-000012,천지연주차장,공영,노외,제주특별자치도 서귀포시 서홍동 684,,192,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-6302,33.243877,126.5606302,2016-08-31
406-2-000013,문부공원,공영,노외,제주특별자치도 서귀포시 동홍동 646-1,제주특별자치도 서귀포시 태평로537번길 40-9,35,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3192,33.2541844,126.5704175,2016-08-31
406-2-000014,용머리 주차장,공영,노외,제주특별자치도 서귀포시 안덕면 사계리 118,제주특별자치도 서귀포시 사계남로216번길 28,69,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-6321,33.2337916,126.3109307,2016-08-31
406-2-000015,월드컵경기장,공영,노외,제주특별자치도 서귀포시 법환동 914,제주특별자치도 서귀포시 월드컵로 31,807,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3602,33.2472383,126.5092079,2016-08-31
406-2-000016,매일올레시장공영주차장,공영,노외,제주특별자치도 서귀포시 서귀동 277-2,제주특별자치도 서귀포시 중앙로62번길 18(서귀동),242,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,유료,30,500,15,300,330,6000,75000,"현금, 신용카드","경차, 장애인차량, 전기차 등 50퍼센트감면",제주특별자치도 서귀포시청,064-762-1949,33.250015,126.563335,2016-08-31
406-2-000017,용머리주차장,공영,노외,제주특별자치도 서귀포시 안덕면 사계리 163-1,,30,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-6321,33.2359434,126.3119793,2016-08-31
406-2-000018,대정감협 앞,공영,노외,제주특별자치도 서귀포시 대정읍 하모리 964-2,,29,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-2632,33.2230288,126.2520661,2016-08-31
406-2-000019,걸매생태공원,공영,노외,제주특별자치도 서귀포시 서홍동 477-1,,79,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3192,33.2505125,126.5546121,2016-08-31
406-2-000020,제일교회 부근,공영,노외,제주특별자치도 서귀포시 대정읍 하모리 1129-1,,5,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-2972,33.2222151,126.2497975,2016-08-31
406-2-000022,고성오일장 옆,공영,노외,제주특별자치도 서귀포시 성산읍 고성리 1188-2,제주특별자치도 서귀포시 고성오조로 93,27,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-2632,33.4519703,126.9137358,2016-08-31
406-2-000023,남원읍 남원리 180 노상,공영,노외,제주특별자치도 서귀포시 남원읍 남원리 180,,125,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2800793,126.718475,2016-08-31
406-2-000024,소방파출소,공영,노외,제주특별자치도 서귀포시 성산읍 오조리 803-1,,10,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.4605347,126.9102298,2016-08-31
406-2-000025,구 오일장 옆,공영,노외,제주특별자치도 서귀포시 남원읍 남원리 83-11,제주특별자치도 서귀포시 남원회관로 78,15,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2788935,126.7212618,2016-08-31
406-2-000026,민속촌 주차장,공영,노외,제주특별자치도 서귀포시 표선면 표선리 40-77,,190,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-2673,33.3243314,126.8431795,2016-08-31
406-2-000027,성읍민속마을,공영,노외,제주특별자치도 서귀포시 표선면 성읍리 778,,87,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-2673,33.3848524,126.8007923,2016-08-31
406-2-000028,안덕면 구면민관 부지,공영,노외,제주특별자치도 서귀포시 안덕면 화순리 318-16,,30,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2472011,126.3355774,2016-08-31
406-2-000029,매일올레시장입구,공영,노외,제주특별자치도 서귀포시 서귀동 276-19,,22,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-2632,33.2495489,126.5631147,2016-08-31
406-2-000030,하모3리마을회관 옆,공영,노외,제주특별자치도 서귀포시 대정읍 하모리 1077-1,,14,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-2632,33.2216422,126.2496362,2016-08-31
406-2-000031,1호광장주차장,공영,노외,제주특별자치도 서귀포시 서귀동 298-2,제주특별자치도 서귀포시 중앙로79번길 6(서귀동),43,1,미시행,평일+토요일+공휴일,9:00,18:00,9:00,18:00,9:00,18:00,혼합,30,500,15,300,330,6000,75000,"현금, 신용카드","경차, 장애인차량, 전기차 등 50퍼센트 감면, 운영시간 이외는 무료",제주특별자치도 서귀포시청,064-760-3132,33.25177,126.560462,2016-08-31
406-2-000032,정방폭포,공영,노외,제주특별자치도 서귀포시 동홍동 277,제주특별자치도 서귀포시 칠십리로214번길 35-1,72,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3152,33.2446074,126.5733117,2016-08-31
406-2-000033,상모아파트 앞,공영,노외,제주특별자치도 서귀포시 대정읍 상모리 3970-2,,21,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2225563,126.257339,2016-08-31
406-2-000034,여성회관 북쪽,공영,노외,제주특별자치도 서귀포시 서귀동 321-5,제주특별자치도 서귀포시 서문로 37,23,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2496536,126.5585246,2016-08-31
406-2-000035,고성리 회전교차로,공영,노외,제주특별자치도 서귀포시 성산읍 고성리 346-2,제주특별자치도 서귀포시 고성오조로 42,107,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.4466708,126.9159304,2016-08-31
406-2-000036,홍마트앞,공영,노외,제주특별자치도 서귀포시 하모리 772-15,제주특별자치도 서귀포시 최남단해안로 8-1,12,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-4094,33.219792,126.2519942,2016-08-31
406-2-000037,대륜동 경로당인근,공영,노외,제주특별자치도 서귀포시 법환동 1063,,20,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-2173,33.2402927,126.5078098,2016-08-31
406-2-000038,회수사거리,공영,노외,제주특별자치도 서귀포시 회수동 788-2,,18,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-2173,33.2630749,126.4425071,2016-08-31
406-2-000021,하모2리사무소 옆,공영,노외,제주특별자치도 서귀포시 대정읍 하모리 1512-1,,22,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-2632,33.2238651,126.2525032,2016-08-31
406-2-000039,제주은행맞은편,공영,노외,제주특별자치도 서귀포시 하모리 846-11,,13,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2211966,126.2532803,2016-08-31
406-2-000040,아랑조을거리주차장,공영,노외,제주특별자치도 서귀포시 서귀동 312-6,,37,1,미시행,평일+토요일+공휴일,9:00,18:00,9:00,18:00,9:00,18:00,혼합,30,500,15,300,330,6000,75000,"현금, 신용카드","경차, 장애인차량, 전기차 등 50퍼센트 감면, 운영시간 이외는 무료",제주특별자치도 서귀포시청,064-760-3132,33.2477818,126.5603076,2016-08-31
406-2-000041,읍사무소 옆,공영,노외,제주특별자치도 서귀포시 성산읍 고성리 1022,,90,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-4293,33.4425569,126.9114334,2016-08-31
406-2-000042,쇠소깍,공영,노외,제주특별자치도 서귀포시 하효동 990-1,제주특별자치도 서귀포시 쇠소깍로 104,59,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2542493,126.6224923,2016-08-31
406-2-000044,천지주차빌딩,공영,노외,제주특별자치도 서귀포시 서귀동 305-23,,229,1,미시행,평일+토요일+공휴일,9:00,18:00,9:00,18:00,9:00,18:00,혼합,30,500,15,300,330,6000,75000,"현금, 신용카드","경차, 장애인차량, 전기차 등 50퍼센트 감면, 운영시간 이외는 무료",제주특별자치도 서귀포시청,064-760-3132,33.250652,126.5609486,2016-08-31
406-2-000045,면사무소 옆,공영,노외,제주특별자치도 서귀포시 표선리 709,,65,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.3259056,126.8311393,2016-08-31
406-2-000046,고성리 구)보건지소,공영,노외,제주특별자치도 서귀포시 성산읍 고성리 1192-2,제주특별자치도 서귀포시 고성동서로 65-4,33,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.4508954,126.9140289,2016-08-31
406-2-000047,동광육거리,공영,노외,제주특별자치도 서귀포시 안덕면 동광리 827,,42,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.3109553,126.3416458,2016-08-31
406-2-000048,구)한라석재부지 맞은편,공영,노외,제주특별자치도 서귀포시 서귀동 300-19,,18,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2516125,126.5597415,2016-08-31
406-2-000049,구)기성카센터,공영,노외,제주특별자치도 서귀포시 서귀동 402-2,,24,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2478222,126.5658352,2016-08-31
406-2-000050,화순사거리,공영,노외,제주특별자치도 서귀포시 안덕면 화순리 1072,,38,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2462677,126.3353527,2016-08-31
406-2-000051,중앙 (구) 남고,공영,노외,제주특별자치도 서귀포시 서귀동 291-2,,89,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2499696,126.5624597,2016-08-31
406-2-000052,서귀중앙공영,공영,노외,제주특별자치도 서귀포시 서귀동 291-3,,206,1,미시행,평일+토요일+공휴일,9:00,20:00,9:00,20:00,9:00,20:00,혼합,30,500,15,300,330,6000,75000,"현금, 신용카드","경차, 장애인차량, 전기차 등 50퍼센트 감면, 운영시간 이외는 무료",제주특별자치도 서귀포시청,,33.249663,126.562293,2016-08-31
406-2-000053,구)성산농협창고,공영,노외,제주특별자치도 서귀포시 성산읍 고성리 327-1,,51,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000054,남원의례회관,공영,노외,제주특별자치도 서귀포시 남원읍 남원리 380-1,,175,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000055,동홍작은도서관,공영,노외,제주특별자치도 서귀포시 동홍동 470-1,,32,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000056,롯데상가앞,공영,노외,제주특별자치도 서귀포시 색달동 2877-12,,72,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000057,부영호텔앞,공영,노외,제주특별자치도 서귀포시 중문동 2567-1,,136,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000058,서귀포향토오일시장,공영,노외,제주특별자치도 서귀포시 동홍동 774-3,,400,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000059,성산항공영주차장,공영,노외,제주특별자치도 서귀포시 성산읍 성산리 347-9,,480,2,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,혼합,30,500,15,250,300,5000,0,"현금, 신용카드","경차, 장애인차량, 전기차 등 50퍼센트 감면, 운영시간 이외는 무료",제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000060,외돌개,공영,노외,제주특별자치도 서귀포시 서홍동 780-1,,30,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000043,원광어린이집 인근,공영,노외,제주특별자치도 서귀포시 성산읍 고성리 1089,,15,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.4491201,126.9107394,2016-08-31
406-2-000061,주상절리대입구,공영,노외,제주특별자치도 서귀포시 중문동 2757-4,,84,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000062,중문관광단지보조경기장앞,공영,노외,제주특별자치도 서귀포시 대포동 2491,,22,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000063,중문관광단지 안내소,공영,노외,제주특별자치도 서귀포시 색달동 2558-1,,24,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000064,중문색달해변,공영,노외,제주특별자치도 서귀포시 색달동 2950-3,,78,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000065,중문색발해변 증설주차장,공영,노외,제주특별자치도 서귀포시 색달동 2889-1,,75,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000066,중문승마장옆,공영,노외,제주특별자치도 서귀포시 중문동 2491,,172,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000068,천제연폭포,공영,노외,제주특별자치도 서귀포시 중문동 2230,,175,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000069,천지동노인회관,공영,노외,제주특별자치도 서귀포시 서귀동 321-5,,23,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000070,컨벤션센터앞,공영,노외,제주특별자치도 서귀포시 중문동 2743,,166,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000071,표선의례회관앞,공영,노외,제주특별자치도 서귀포시 표선면 표선리 2103,,163,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000072,혁신도시공영주차장,공영,노외,제주특별자치도 서귀포시 서호동 1603,,149,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
406-2-000067,중문오일시장,공영,노외,제주특별자치도 서귀포시 중문동 2128-1,,47,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,,,,2016-08-31
